Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/05/2026,01/06/2026,CHICK-FIL-A #01234 ATLANTA GA,Food & Drink,Sale,-12.47,
01/07/2026,01/08/2026,DUKE ENERGY ONLINE PAYMENT,Bills & Utilities,Sale,-142.18,
01/08/2026,01/09/2026,UBER TRIP HELP.UBER.COM,Travel,Sale,-18.20,
01/10/2026,01/11/2026,NETFLIX.COM,Bills & Utilities,Sale,-15.99,
01/12/2026,01/13/2026,WHOLE FOODS MARKET #10234,Food & Drink,Sale,-67.43,
01/14/2026,01/15/2026,SHELL OIL 574839293,Gas,Sale,-48.12,
01/15/2026,01/16/2026,Payment Thank You - Web,,Payment,450.00,
01/18/2026,01/19/2026,AMAZON.COM*AB12CD34,Shopping,Sale,-29.99,
01/20/2026,01/21/2026,ROCKET MORTGAGE AUTOPAY,Bills & Utilities,Sale,-2100.00,
01/22/2026,01/23/2026,SPOTIFY USA,Bills & Utilities,Sale,-11.99,
02/05/2026,02/06/2026,CHICK-FIL-A #01234 ATLANTA GA,Food & Drink,Sale,-14.10,
02/07/2026,02/08/2026,DUKE ENERGY ONLINE PAYMENT,Bills & Utilities,Sale,-138.50,
02/10/2026,02/11/2026,NETFLIX.COM,Bills & Utilities,Sale,-15.99,
02/20/2026,02/21/2026,ROCKET MORTGAGE AUTOPAY,Bills & Utilities,Sale,-2100.00,
02/22/2026,02/23/2026,SPOTIFY USA,Bills & Utilities,Sale,-11.99,
02/25/2026,02/26/2026,LOCAL COFFEE ROASTERS DOWNTOWN,Food & Drink,Sale,-6.75,
